"county","year","total_cases","total_deaths"
"Bulloch",2021,11703,225
"Bulloch",2022,15429,264
"Bullock",2020,888,22
"Bullock",2021,1676,46
"Bullock",2022,2319,54
"Buncombe",2020,9195,169
"Buncombe",2021,33128,462
"Buncombe",2022,54155,593
"Bureau",2020,2813,72
"Bureau",2021,5716,120
"Bureau",2022,8461,140
"Burke",2020,7986,96
"Burke",2021,21446,343
"Burke",2022,31147,440
"Burleigh",2020,13680,176
"Burleigh",2021,25621,281
"Burleigh",2022,35087,303
"Burleson",2020,937,14
"Burleson",2021,3390,61
"Burleson",2022,5048,66
"Burlington",2020,21512,627
"Burlington",2021,72492,1014
"Burlington",2022,106935,1210
"Burnet",2020,1964,27
"Burnet",2021,7846,134
"Burnet",2022,11095,171
"Burnett",2020,1101,19
"Burnett",2021,3030,36
"Burnett",2022,4062,43
"Burt",2020,521,9
"Burt",2021,964,13
"Burt",2022,1331,16
"Butler",2020,47877,520
"Butler",2021,128097,1991
"Butler",2022,182527,2515
"Butte",2020,8448,114
"Butte",2021,29142,388
"Butte",2022,43413,478
"Butts",2020,1733,48
"Butts",2021,5186,125
"Butts",2022,6556,157
"Cabarrus",2020,11161,146
"Cabarrus",2021,37934,376
"Cabarrus",2022,56620,494
"Cabell",2020,5373,101
"Cabell",2021,17685,299
"Cabell",2022,27842,375
"Cabo Rojo",2020,759,0
"Cabo Rojo",2021,2929,0
"Cabo Rojo",2022,6653,0
"Cache",2020,11167,20
"Cache",2021,25185,84
"Cache",2022,37265,109
"Caddo",2020,20604,556
"Caddo",2021,49893,1130
"Caddo",2022,75838,1327
"Caguas",2020,4554,0
"Caguas",2021,13094,0
"Caguas",2022,25226,0
"Calaveras",2020,1161,22
"Calaveras",2021,4738,93
"Calaveras",2022,7754,120
"Calcasieu",2020,13933,285
"Calcasieu",2021,36906,637
"Calcasieu",2022,54862,706
"Caldwell",2020,10621,114
"Caldwell",2021,30348,510
"Caldwell",2022,46233,639
"Caledonia",2020,248,3
"Caledonia",2021,3221,21
"Caledonia",2022,5854,25
"Calhoun",2020,24112,446
"Calhoun",2021,66020,1290
"Calhoun",2022,93099,1560
"Callahan",2020,801,18
"Callahan",2021,2006,59
"Callahan",2022,2920,72
"Callaway",2020,3817,20
"Callaway",2021,8665,98
"Callaway",2022,12150,130
"Calloway",2020,2344,25
"Calloway",2021,5625,70
"Calloway",2022,8414,94
"Calumet",2020,5040,37
"Calumet",2021,10791,91
"Calumet",2022,14749,121
"Calvert",2020,2269,46
"Calvert",2021,7293,102
"Calvert",2022,11468,146
"Camas",2020,56,0
"Camas",2021,109,1
"Camas",2022,158,2
"Cambria",2020,8910,254
"Cambria",2021,25591,621
"Cambria",2022,34936,732
"Camden",2020,34968,917
"Camden",2021,104319,1783
"Camden",2022,152873,2116
"Cameron",2020,30210,1194
"Cameron",2021,69871,2048
"Cameron",2022,107113,2061
"Camp",2020,771,25
"Camp",2021,2204,68
"Camp",2022,2873,75
"Campbell",2020,13845,125
"Campbell",2021,41942,544
"Campbell",2022,62609,718
"Camuy",2020,935,0
"Camuy",2021,2399,0
"Camuy",2022,6042,0
"Canadian",2020,10582,52
"Canadian",2021,25428,312
"Canadian",2022,39889,390
"Candler",2020,696,37
"Candler",2021,1623,90
"Candler",2022,2194,96
"Cannon",2020,1366,15
"Cannon",2021,2991,50
"Cannon",2022,4227,63
"Canovanas",2020,1456,0
"Canovanas",2021,4187,0
"Canovanas",2022,7464,0
"Canyon",2020,20605,219
"Canyon",2021,45084,606
"Canyon",2022,61709,685
